<albany:FastEthernet0/0, buffalo:FastEthernet0/0>
<genoa:FastEthernet0/1, nodeid172:FastEthernet0/0>
<genoa:FastEthernet1/0, rome:FastEthernet0/1>
<gijon:FastEthernet0/0, leon:FastEthernet0/0>
<gijon:FastEthernet0/1, santander:FastEthernet0/1>
<glasgow:FastEthernet0/0, edinburgh:FastEthernet0/0>
<glasgow:FastEthernet0/1, manchester:FastEthernet0/1>
<granada:FastEthernet0/0, malaga:FastEthernet0/0>
<granada:FastEthernet0/1, murcia:FastEthernet0/1>
<greensboro:FastEthernet0/0, nodeid148:FastEthernet0/1>
<greensboro:FastEthernet0/1, raleigh:FastEthernet0/0>
<grenoble:FastEthernet0/0, geneva:FastEthernet0/1>
<grenoble:FastEthernet0/1, lyon:FastEthernet0/1>
<guadalajara:FastEthernet0/0, queretaro:FastEthernet0/0>
<hamburg:FastEthernet0/0, berlin:FastEthernet0/1>
<hamburg:FastEthernet0/1, bremen:FastEthernet0/0>
<hamburg:FastEthernet1/0, copenhagen:FastEthernet0/0>
<hamilton:FastEthernet0/0, buffalo:FastEthernet1/0>
<hamilton:FastEthernet0/1, toronto:FastEthernet0/0>
<harrisburg:FastEthernet0/0, philadelphia:FastEthernet1/0>
<harrisburg:FastEthernet0/1, pittsburgh:FastEthernet0/1>
<harrisburg:FastEthernet1/0, washington:FastEthernet0/1>
<helsinki:FastEthernet0/0, stockholm:FastEthernet0/0>
<helsinki:FastEthernet0/1, tallinn:FastEthernet0/0>
<herndon:FastEthernet0/0, washington:FastEthernet1/0>
<houston:FastEthernet0/0, austin:FastEthernet0/0>
<houston:FastEthernet0/1, dallas:FastEthernet0/1>
<houston:FastEthernet1/0, nodeid144:FastEthernet0/0>
<indianapolis:FastEthernet0/0, columbus:FastEthernet0/1>
<indianapolis:FastEthernet0/1, louisville:FastEthernet0/0>
<indianapolis:FastEthernet1/0, southttbend:FastEthernet0/1>
<jackson:FastEthernet0/0, memphis:FastEthernet0/0>
<jackson:FastEthernet0/1, newttorleans:FastEthernet0/0>
<jackson:FastEthernet1/0, nodeid149:FastEthernet0/0>
<jacksonville:FastEthernet0/0, atlanta:FastEthernet0/1>
<jacksonville:FastEthernet0/1, orlando:FastEthernet0/0>
<kansasttcity:FastEthernet0/0, denver:FastEthernet0/1>
<kansasttcity:FastEthernet0/1, stttlouis:FastEthernet0/1>
<kansasttcity:FastEthernet1/0, tulsa:FastEthernet0/1>
<kapitanttandreevo:FastEthernet0/0, burgas:FastEthernet0/0>
<kapitanttandreevo:FastEthernet0/1, nodeid175:FastEthernet0/1>
<kharkiv:FastEthernet0/0, kiev:FastEthernet0/1>
<kiev:FastEthernet0/0, bratislava:FastEthernet1/1>
<kiev:FastEthernet0/1, kharkiv:FastEthernet0/0>
<kiev:FastEthernet1/0, odessa:FastEthernet0/1>
<krakow:FastEthernet0/0, brno:FastEthernet0/1>
<krakow:FastEthernet0/1, warsaw:FastEthernet0/0>
<laredo:FastEthernet0/0, mcallen:FastEthernet0/0>
<laredo:FastEthernet0/1, santtantonio:FastEthernet1/0>
<lasttvegas:FastEthernet0/0, losttangeles:FastEthernet0/0>
<leeds:FastEthernet0/0, cambridge:FastEthernet0/1>
<leeds:FastEthernet0/1, liverpoolttsouthport:FastEthernet0/1>
<leeds:FastEthernet1/0, newcastle:FastEthernet0/1>
<leon:FastEthernet0/0, gijon:FastEthernet0/0>
<leon:FastEthernet0/1, vigo:FastEthernet0/0>
<lille:FastEthernet0/0, london:FastEthernet1/1>
<lille:FastEthernet0/1, paris:FastEthernet0/1>
<lisbon:FastEthernet0/0, badajoz:FastEthernet0/0>
<lisbon:FastEthernet0/1, coimbra:FastEthernet0/1>
<liverpoolttsouthport:FastEthernet0/0, boston:FastEthernet0/0>
<liverpoolttsouthport:FastEthernet0/1, leeds:FastEthernet0/1>
<liverpoolttsouthport:FastEthernet1/0, montreal:FastEthernet0/1>
<ljubljana:FastEthernet0/0, nodeid174:FastEthernet0/0>
<ljubljana:FastEthernet0/1, zagreb:FastEthernet0/0>
<logrono:FastEthernet0/0, bilbao:FastEthernet0/1>
<logrono:FastEthernet0/1, zaragoza:FastEthernet0/0>
<london:FastEthernet0/0, boston:FastEthernet0/1>
<london:FastEthernet0/1, brussels:FastEthernet0/1>
<london:FastEthernet1/0, dublin:FastEthernet0/0>
<london:FastEthernet1/1, lille:FastEthernet0/0>
<london:FastEthernet2/0, manchester:FastEthernet1/0>
<london:FastEthernet2/1, montreal:FastEthernet1/0>
<london:FastEthernet3/0, newttyork:FastEthernet0/1>
<losttangeles:FastEthernet0/0, lasttvegas:FastEthernet0/0>
<losttangeles:FastEthernet0/1, orangettcounty:FastEthernet0/0>
<losttangeles:FastEthernet1/0, santattclara:FastEthernet0/0>
<louisville:FastEthernet0/0, indianapolis:FastEthernet0/1>
<louisville:FastEthernet0/1, nashville:FastEthernet1/0>
<luxembourg:FastEthernet0/0, mainzdashwiesbaden:FastEthernet0/1>
<luxembourg:FastEthernet0/1, nodeid173:FastEthernet0/0>
<lyon:FastEthernet0/0, dijon:FastEthernet0/0>
<lyon:FastEthernet0/1, grenoble:FastEthernet0/1>
<lyon:FastEthernet1/0, marseille:FastEthernet0/0>
<lyon:FastEthernet1/1, paris:FastEthernet1/0>
<madrid:FastEthernet0/0, avila:FastEthernet1/0>
<madrid:FastEthernet0/1, valencia:FastEthernet1/0>
<mainzdashwiesbaden:FastEthernet0/0, frankfurt:FastEthernet0/1>
<mainzdashwiesbaden:FastEthernet0/1, luxembourg:FastEthernet0/0>
<malaga:FastEthernet0/0, granada:FastEthernet0/0>
<malaga:FastEthernet0/1, sevilla:FastEthernet0/1>
<malmo:FastEthernet0/0, copenhagen:FastEthernet0/1>
<malmo:FastEthernet0/1, stockholm:FastEthernet0/1>
<manchester:FastEthernet0/0, dublin:FastEthernet0/1>
<manchester:FastEthernet0/1, glasgow:FastEthernet0/1>
<manchester:FastEthernet1/0, london:FastEthernet2/0>
<manchester:FastEthernet1/1, nodeid147:FastEthernet0/1>
<mannheim:FastEthernet0/0, frankfurt:FastEthernet1/0>
<mannheim:FastEthernet0/1, stuttgart:FastEthernet0/0>
<marseille:FastEthernet0/0, lyon:FastEthernet1/0>
<marseille:FastEthernet0/1, montpellier:FastEthernet0/0>
<marseille:FastEthernet1/0, sophia:FastEthernet0/0>
<mcallen:FastEthernet0/0, laredo:FastEthernet0/0>
<mcallen:FastEthernet0/1, monterrey:FastEthernet0/0>
<memphis:FastEthernet0/0, jackson:FastEthernet0/0>
<memphis:FastEthernet0/1, nashville:FastEthernet1/1>
<memphis:FastEthernet1/0, tulsa:FastEthernet1/0>
<mexicottcity:FastEthernet0/0, queretaro:FastEthernet0/1>
<miami:FastEthernet0/0, bocattraton:FastEthernet0/0>
<miami:FastEthernet0/1, orlando:FastEthernet0/1>
<miami:FastEthernet1/0, tampa:FastEthernet0/0>
<milan:FastEthernet0/0, genoa:FastEthernet0/0>
<milan:FastEthernet0/1, paduadashvenice:FastEthernet0/1>
<milan:FastEthernet1/0, zurich:FastEthernet0/1>
<milwaukee:FastEthernet0/0, chicago:FastEthernet0/1>
<milwaukee:FastEthernet0/1, minneapolis:FastEthernet0/1>
<minneapolis:FastEthernet0/0, desttmoines:FastEthernet0/1>
<minneapolis:FastEthernet0/1, milwaukee:FastEthernet0/1>
<monterrey:FastEthernet0/0, mcallen:FastEthernet0/1>
<monterrey:FastEthernet0/1, queretaro:FastEthernet1/0>
<montpellier:FastEthernet0/0, marseille:FastEthernet0/1>
<montpellier:FastEthernet0/1, nodeid171:FastEthernet0/1>
<montreal:FastEthernet0/0, albany:FastEthernet0/1>
<montreal:FastEthernet0/1, liverpoolttsouthport:FastEthernet1/0>
<montreal:FastEthernet1/0, london:FastEthernet2/1>
<montreal:FastEthernet1/1, toronto:FastEthernet0/1>
<munich:FastEthernet0/0, nuremberg:FastEthernet0/1>
<munich:FastEthernet0/1, stuttgart:FastEthernet0/1>
<munich:FastEthernet1/0, vienna:FastEthernet0/1>
<munster:FastEthernet0/0, bremen:FastEthernet0/1>
<munster:FastEthernet0/1, dortmund:FastEthernet0/1>
<murcia:FastEthernet0/0, alicante:FastEthernet0/0>
<murcia:FastEthernet0/1, granada:FastEthernet0/1>
<nantes:FastEthernet0/0, poiters:FastEthernet0/1>
<nantes:FastEthernet0/1, rennes:FastEthernet0/1>
<nashville:FastEthernet0/0, atlanta:FastEthernet1/0>
<nashville:FastEthernet0/1, birmingham:FastEthernet0/0>
<nashville:FastEthernet1/0, louisville:FastEthernet0/1>
<nashville:FastEthernet1/1, memphis:FastEthernet0/1>
<newark:FastEthernet0/0, philadelphia:FastEthernet1/1>
<newcastle:FastEthernet0/0, edinburgh:FastEthernet0/1>
<newcastle:FastEthernet0/1, leeds:FastEthernet1/0>
<newttorleans:FastEthernet0/0, jackson:FastEthernet0/1>
<newttorleans:FastEthernet0/1, nodeid144:FastEthernet0/1>
<newttorleans:FastEthernet1/0, tampa:FastEthernet0/1>
<newttyork:FastEthernet0/0, albany:FastEthernet1/0>
<newttyork:FastEthernet0/1, london:FastEthernet3/0>
<newttyork:FastEthernet1/0, paris:FastEthernet1/1>
<newttyork:FastEthernet1/1, stamford:FastEthernet0/0>
<nice:FastEthernet0/0, nodeid172:FastEthernet0/1>
<nodeid144:FastEthernet0/0, houston:FastEthernet1/0>
<nodeid144:FastEthernet0/1, newttorleans:FastEthernet0/1>
<nodeid144:FastEthernet1/0, nodeid149:FastEthernet0/1>
<nodeid147:FastEthernet0/0, dublin:FastEthernet1/0>
<nodeid147:FastEthernet0/1, manchester:FastEthernet1/1>
<nodeid147:FastEthernet1/0, slough:FastEthernet0/0>
<nodeid148:FastEthernet0/0, charlotte:FastEthernet0/1>
<nodeid148:FastEthernet0/1, greensboro:FastEthernet0/0>
<nodeid148:FastEthernet1/0, washington:FastEthernet1/1>
<nodeid149:FastEthernet0/0, jackson:FastEthernet1/0>
<nodeid149:FastEthernet0/1, nodeid144:FastEthernet1/0>
<nodeid149:FastEthernet1/0, nodeid150:FastEthernet1/0>
<nodeid150:FastEthernet0/0, atlanta:FastEthernet1/1>
<nodeid150:FastEthernet0/1, birmingham:FastEthernet0/1>
<nodeid150:FastEthernet1/0, nodeid149:FastEthernet1/0>
<nodeid171:FastEthernet0/0, barcelona:FastEthernet0/0>
<nodeid171:FastEthernet0/1, montpellier:FastEthernet0/1>
<nodeid171:FastEthernet1/0, toulouse:FastEthernet0/1>
<nodeid172:FastEthernet0/0, genoa:FastEthernet0/1>
<nodeid172:FastEthernet0/1, nice:FastEthernet0/0>
<nodeid172:FastEthernet1/0, sophia:FastEthernet0/1>
<nodeid173:FastEthernet0/0, luxembourg:FastEthernet0/1>
<nodeid173:FastEthernet0/1, reims:FastEthernet0/0>
<nodeid173:FastEthernet1/0, strasbourg:FastEthernet0/1>
<nodeid174:FastEthernet0/0, ljubljana:FastEthernet0/0>
<nodeid174:FastEthernet0/1, paduadashvenice:FastEthernet1/0>
<nodeid174:FastEthernet1/0, vienna:FastEthernet1/0>
<nodeid175:FastEthernet0/0, bucharest:FastEthernet1/1>
<nodeid175:FastEthernet0/1, kapitanttandreevo:FastEthernet0/1>
<nodeid175:FastEthernet1/0, sofia:FastEthernet0/0>
<nodeid176:FastEthernet0/0, bucharest:FastEthernet2/0>
<nodeid176:FastEthernet0/1, sofia:FastEthernet0/1>
<nodeid176:FastEthernet1/0, timisoara:FastEthernet0/1>
<nuremberg:FastEthernet0/0, dresden:FastEthernet0/1>
<nuremberg:FastEthernet0/1, munich:FastEthernet0/0>
<oakland:FastEthernet0/0, sacramento:FastEthernet0/0>
<oakland:FastEthernet0/1, santtfrancisco:FastEthernet0/0>
<odessa:FastEthernet0/0, galati:FastEthernet0/1>
<odessa:FastEthernet0/1, kiev:FastEthernet1/0>
<oklahomattcity:FastEthernet0/0, fortttworth:FastEthernet0/1>
<oklahomattcity:FastEthernet0/1, tulsa:FastEthernet1/1>
<omaha:FastEthernet0/0, desttmoines:FastEthernet1/0>
<orangettcounty:FastEthernet0/0, losttangeles:FastEthernet0/1>
<orangettcounty:FastEthernet0/1, santtdiego:FastEthernet0/0>
<orlando:FastEthernet0/0, jacksonville:FastEthernet0/1>
<orlando:FastEthernet0/1, miami:FastEthernet0/1>
<orlando:FastEthernet1/0, tampa:FastEthernet1/0>
<oslo:FastEthernet0/0, copenhagen:FastEthernet1/0>
<oslo:FastEthernet0/1, stockholm:FastEthernet1/0>
<paduadashvenice:FastEthernet0/0, bologna:FastEthernet0/1>
<paduadashvenice:FastEthernet0/1, milan:FastEthernet0/1>
<paduadashvenice:FastEthernet1/0, nodeid174:FastEthernet0/1>
<paris:FastEthernet0/0, brussels:FastEthernet1/0>
<paris:FastEthernet0/1, lille:FastEthernet0/1>
<paris:FastEthernet1/0, lyon:FastEthernet1/1>
<paris:FastEthernet1/1, newttyork:FastEthernet1/0>
<paris:FastEthernet2/0, reims:FastEthernet0/1>
<paris:FastEthernet2/1, rouen:FastEthernet0/1>
<paris:FastEthernet3/0, slough:FastEthernet0/1>
<paris:FastEthernet3/1, tours:FastEthernet0/0>
<paris:FastEthernet4/0, washington:FastEthernet2/0>
<peeralicante0:FastEthernet0/0, alicante:FastEthernet1/0>
<philadelphia:FastEthernet0/0, baltimore:FastEthernet0/0>
<philadelphia:FastEthernet0/1, frankfurt:FastEthernet1/1>
<philadelphia:FastEthernet1/0, harrisburg:FastEthernet0/0>
<philadelphia:FastEthernet1/1, newark:FastEthernet0/0>
<phoenix:FastEthernet0/0, elttpaso:FastEthernet0/1>
<phoenix:FastEthernet0/1, santtdiego:FastEthernet0/1>
<pittsburgh:FastEthernet0/0, cleveland:FastEthernet2/0>
<pittsburgh:FastEthernet0/1, harrisburg:FastEthernet0/1>
<poiters:FastEthernet0/0, bordeaux:FastEthernet0/0>
<poiters:FastEthernet0/1, nantes:FastEthernet0/0>
<poiters:FastEthernet1/0, tours:FastEthernet0/1>
<portland:FastEthernet0/0, boise:FastEthernet0/0>
<portland:FastEthernet0/1, sacramento:FastEthernet0/1>
<portland:FastEthernet1/0, seattle:FastEthernet0/0>
<porto:FastEthernet0/0, coimbra:FastEthernet1/0>
<porto:FastEthernet0/1, vigo:FastEthernet0/1>
<prague:FastEthernet0/0, brno:FastEthernet1/0>
<prague:FastEthernet0/1, dresden:FastEthernet1/0>
<providence:FastEthernet0/0, boston:FastEthernet1/0>
<providence:FastEthernet0/1, stamford:FastEthernet0/1>
<queretaro:FastEthernet0/0, guadalajara:FastEthernet0/0>
<queretaro:FastEthernet0/1, mexicottcity:FastEthernet0/0>
<queretaro:FastEthernet1/0, monterrey:FastEthernet0/1>
<raleigh:FastEthernet0/0, greensboro:FastEthernet0/1>
<reims:FastEthernet0/0, nodeid173:FastEthernet0/1>
<reims:FastEthernet0/1, paris:FastEthernet2/0>
<rennes:FastEthernet0/0, caen:FastEthernet0/0>
<rennes:FastEthernet0/1, nantes:FastEthernet0/1>
<rome:FastEthernet0/0, arezzo:FastEthernet0/1>
<rome:FastEthernet0/1, genoa:FastEthernet1/0>
<rotterdam:FastEthernet0/0, slough:FastEthernet1/0>
<rouen:FastEthernet0/0, caen:FastEthernet0/1>
<rouen:FastEthernet0/1, paris:FastEthernet2/1>
<sacramento:FastEthernet0/0, oakland:FastEthernet0/0>
<sacramento:FastEthernet0/1, portland:FastEthernet0/1>
<sacramento:FastEthernet1/0, saltttlakettcity:FastEthernet1/0>
<saltttlakettcity:FastEthernet0/0, boise:FastEthernet0/1>
<saltttlakettcity:FastEthernet0/1, denver:FastEthernet1/0>
<saltttlakettcity:FastEthernet1/0, sacramento:FastEthernet1/0>
<santander:FastEthernet0/0, bilbao:FastEthernet1/1>
<santander:FastEthernet0/1, gijon:FastEthernet0/1>
<santattclara:FastEthernet0/0, losttangeles:FastEthernet1/0>
<santattclara:FastEthernet0/1, santtfrancisco:FastEthernet0/1>
<santtantonio:FastEthernet0/0, austin:FastEthernet0/1>
<santtantonio:FastEthernet0/1, elttpaso:FastEthernet1/0>
<santtantonio:FastEthernet1/0, laredo:FastEthernet0/1>
<santtdiego:FastEthernet0/0, orangettcounty:FastEthernet0/1>
<santtdiego:FastEthernet0/1, phoenix:FastEthernet0/1>
<santtfrancisco:FastEthernet0/0, oakland:FastEthernet0/1>
<santtfrancisco:FastEthernet0/1, santattclara:FastEthernet0/1>
<santtsebastian:FastEthernet0/0, bilbao:FastEthernet1/0>
<santtsebastian:FastEthernet0/1, bordeaux:FastEthernet0/1>
<seattle:FastEthernet0/0, portland:FastEthernet1/0>
<sevilla:FastEthernet0/0, badajoz:FastEthernet0/1>
<sevilla:FastEthernet0/1, malaga:FastEthernet0/1>
<slough:FastEthernet0/0, nodeid147:FastEthernet1/0>
<slough:FastEthernet0/1, paris:FastEthernet3/0>
<slough:FastEthernet1/0, rotterdam:FastEthernet0/0>
<sofia:FastEthernet0/0, nodeid175:FastEthernet1/0>
<sofia:FastEthernet0/1, nodeid176:FastEthernet0/1>
<sophia:FastEthernet0/0, marseille:FastEthernet1/0>
<sophia:FastEthernet0/1, nodeid172:FastEthernet1/0>
<southttbend:FastEthernet0/0, chicago:FastEthernet1/0>
<southttbend:FastEthernet0/1, indianapolis:FastEthernet1/0>
<southttbend:FastEthernet1/0, toledo:FastEthernet1/0>
<stamford:FastEthernet0/0, newttyork:FastEthernet1/1>
<stamford:FastEthernet0/1, providence:FastEthernet0/1>
<stamford:FastEthernet1/0, whitettplains:FastEthernet0/0>
<stockholm:FastEthernet0/0, helsinki:FastEthernet0/0>
<stockholm:FastEthernet0/1, malmo:FastEthernet0/1>
<stockholm:FastEthernet1/0, oslo:FastEthernet0/1>
<strasbourg:FastEthernet0/0, frankfurt:FastEthernet2/0>
<strasbourg:FastEthernet0/1, nodeid173:FastEthernet1/0>
<stttlouis:FastEthernet0/0, chicago:FastEthernet1/1>
<stttlouis:FastEthernet0/1, kansasttcity:FastEthernet0/1>
