<amsterdam:FastEthernet0/0, brussels:FastEthernet0/0>
<geneva:FastEthernet2/0, peergeneva9:FastEthernet0/0>
<geneva:FastEthernet2/1, zurich:FastEthernet0/1>
<istanbul:FastEthernet0/0, athens:FastEthernet0/0>
<istanbul:FastEthernet0/1, bucharest:FastEthernet0/1>
<istanbul:FastEthernet1/0, peeristanbul10:FastEthernet0/0>
<kiev:FastEthernet0/0, bucharest:FastEthernet1/0>
<kiev:FastEthernet0/1, peerkiev11:FastEthernet0/0>
<kiev:FastEthernet1/0, warsaw:FastEthernet0/1>
<lisbon:FastEthernet0/0, london:FastEthernet1/1>
<ljubjana:FastEthernet0/0, zagreb:FastEthernet0/1>
<london:FastEthernet0/0, amsterdam:FastEthernet1/0>
<london:FastEthernet0/1, brussels:FastEthernet1/0>
<london:FastEthernet1/0, dublin:FastEthernet0/0>
<london:FastEthernet1/1, lisbon:FastEthernet0/0>
<london:FastEthernet2/0, paris:FastEthernet1/0>
<luxembourg:FastEthernet0/0, brussels:FastEthernet1/1>
<luxembourg:FastEthernet0/1, strasbourg:FastEthernet1/0>
<lyon:FastEthernet0/0, geneva:FastEthernet0/1>
<lyon:FastEthernet0/1, marseille:FastEthernet0/1>
<lyon:FastEthernet1/0, paris:FastEthernet1/1>
<madrid:FastEthernet0/0, barcelona:FastEthernet0/0>
<madrid:FastEthernet0/1, paris:FastEthernet2/0>
<marseille:FastEthernet0/0, barcelona:FastEthernet0/1>
<marseille:FastEthernet0/1, lyon:FastEthernet0/1>
<marseille:FastEthernet1/0, milan:FastEthernet0/0>
<marseille:FastEthernet1/1, peermarseille12:FastEthernet0/0>
<marseille:FastEthernet2/0, peermarseille13:FastEthernet0/0>
<milan:FastEthernet0/0, marseille:FastEthernet1/0>
<milan:FastEthernet0/1, peermilan14:FastEthernet0/0>
<milan:FastEthernet1/0, roma:FastEthernet0/0>
<milan:FastEthernet1/1, vienna:FastEthernet1/0>
<milan:FastEthernet2/0, zurich:FastEthernet1/0>
<paris:FastEthernet0/0, brussels:FastEthernet2/0>
<paris:FastEthernet0/1, geneva:FastEthernet1/0>
<paris:FastEthernet1/0, london:FastEthernet2/0>
<paris:FastEthernet1/1, lyon:FastEthernet1/0>
<paris:FastEthernet2/0, madrid:FastEthernet0/1>
<peeramsterdam0:FastEthernet0/0, amsterdam:FastEthernet1/1>
<peerbarcelona1:FastEthernet0/0, barcelona:FastEthernet1/0>
<peerbasel2:FastEthernet0/0, basel:FastEthernet0/1>
<peerbasel3:FastEthernet0/0, basel:FastEthernet1/0>
<peerbrussels4:FastEthernet0/0, brussels:FastEthernet2/1>
<peerbrussels5:FastEthernet0/0, brussels:FastEthernet3/0>
<peerbrussels6:FastEthernet0/0, brussels:FastEthernet3/1>
<peerfrankfurt7:FastEthernet0/0, frankfurt:FastEthernet1/0>
<peergeneva8:FastEthernet0/0, geneva:FastEthernet1/1>
<peergeneva9:FastEthernet0/0, geneva:FastEthernet2/0>
<peeristanbul10:FastEthernet0/0, istanbul:FastEthernet1/0>
<peerkiev11:FastEthernet0/0, kiev:FastEthernet0/1>
<peermarseille12:FastEthernet0/0, marseille:FastEthernet1/1>
<peermarseille13:FastEthernet0/0, marseille:FastEthernet2/0>
<peermilan14:FastEthernet0/0, milan:FastEthernet0/1>
<peerstrasbourg15:FastEthernet0/0, strasbourg:FastEthernet1/1>
<praha:FastEthernet0/0, bratislava:FastEthernet0/1>
<praha:FastEthernet0/1, frankfurt:FastEthernet1/1>
<praha:FastEthernet1/0, warsaw:FastEthernet1/0>
<roma:FastEthernet0/0, milan:FastEthernet1/0>
<roma:FastEthernet0/1, zurich:FastEthernet1/1>
<rotterdam:FastEthernet0/0, amsterdam:FastEthernet2/0>
<rotterdam:FastEthernet0/1, brussels:FastEthernet4/0>
<sofia:FastEthernet0/0, athens:FastEthernet0/1>
<sofia:FastEthernet0/1, budapest:FastEthernet1/0>
<stockholm:FastEthernet0/0, frankfurt:FastEthernet2/0>
<strasbourg:FastEthernet0/0, basel:FastEthernet1/1>
<strasbourg:FastEthernet0/1, frankfurt:FastEthernet2/1>
<strasbourg:FastEthernet1/0, luxembourg:FastEthernet0/1>
<strasbourg:FastEthernet1/1, peerstrasbourg15:FastEthernet0/0>
<vaduz:FastEthernet0/0, zurich:FastEthernet2/0>
<vienna:FastEthernet0/0, bratislava:FastEthernet1/0>
<vienna:FastEthernet0/1, frankfurt:FastEthernet3/0>
<vienna:FastEthernet1/0, milan:FastEthernet1/1>
<warsaw:FastEthernet0/0, frankfurt:FastEthernet3/1>
<warsaw:FastEthernet0/1, kiev:FastEthernet1/0>
<warsaw:FastEthernet1/0, praha:FastEthernet1/0>
<zagreb:FastEthernet0/0, budapest:FastEthernet1/1>
<zagreb:FastEthernet0/1, ljubjana:FastEthernet0/0>
<zurich:FastEthernet0/0, frankfurt:FastEthernet4/0>
<zurich:FastEthernet0/1, geneva:FastEthernet2/1>
<zurich:FastEthernet1/0, milan:FastEthernet2/0>
<zurich:FastEthernet1/1, roma:FastEthernet0/1>
<zurich:FastEthernet2/0, vaduz:FastEthernet0/0>
